id,isv,variations,animal_type,symbol,color
moose,loś,,mammal,,"37,87,62"
deer,jelenj,,mammal,,"37,87,62"
cow,kråva,,mammal,,"37,87,62"
dog,pes,,mammal,,"37,87,62"
tiger,tigr,,mammal,,"37,87,62"
cat,kot,,mammal,𓃠,"37,87,62"
capybara,kapibara,,mammal,,"37,87,62"
porcupine,dikobraz,,mammal,,"37,87,62"
,,,,,
,,,,,
salmon,losoś,,fish,,"37,87,62"
tuna,tunec,,fish,,"37,87,62"
carp,karaś,,fish,,"37,87,62"
dace,jelec,,fish,,"37,87,62"
sturgeon,jesetr,,fish,,"37,87,62"
,,,,,
,,,,,
sparrow,vråbec,,bird,,"37,87,62"
owl,sova,,bird,,"37,87,62"
crow,vråna,,bird,,"37,87,62"
raven,krukavec,,bird,,"37,87,62"
rook,gavrån,,bird,,"37,87,62"
lark,skovrånȯk,,bird,,"37,87,62"
blackbird,kos,,bird,,"37,87,62"
goose,gųś,,bird,,"37,87,62"
,,,,,
cobra,kobra,,reptile,,"37,87,62"
snake,gad,,reptile,,"37,87,62"
lizard,jaščer,,reptile,,"37,87,62"
iguana,iguana,,reptile,,"37,87,62"
grass_snake,vųž,,reptile,,"37,87,62"
turtle,žȯlv,,reptile,,"37,87,62"
gecko,gekon,,reptile,,"37,87,62"
crocodile,krokodil,,reptile,,"37,87,62"
bee,pčela,,insect,,"37,87,62"
ant,mråvka,,insect,,"37,87,62"
spider,pavųk,,insect,,"37,87,62"
locust,saranča,,insect,,"37,87,62"
snail,slimak,,insect,,"37,87,62"
centipede,stonožka,,insect,,"37,87,62"
scorpion,skorpion,,insect,,"37,87,62"
